batch_index,seed
1,816576
2,906734
3,135716
4,914242
5,636035
6,106565
7,285713
8,551412
9,957931
10,965239
11,166036
12,970886
13,957595
14,490521
15,802277
16,150467
17,427543
18,916578
19,794285
20,959897
21,659183
22,45354
23,850638
24,934653
25,681947
26,760162
27,745701
28,398304
29,658923
30,179474
31,708985
32,41514
33,284153
34,55709
35,106160
36,825223
37,697880
38,323928
39,950719
40,44101
41,444356
42,387742
43,767861
44,797247
45,195003
46,494866
47,451130
48,649849
49,712271
50,757139
51,283264
52,682905
53,658547
54,170985
55,127807
56,503380
57,960146
58,346981
59,589415
60,231573
61,753754
62,262544
63,510897
64,702085
65,891994
66,959698
67,551743
68,147238
69,157801
70,264933
71,842310
72,261739
73,816141
74,251089
75,929970
76,356483
77,204629
78,258573
79,619884
80,478555
81,358142
82,832520
83,589411
84,554226
85,918021
86,292980
87,759628
88,756191
89,386641
90,572143
91,85095
92,63410
93,535489
94,781375
95,934670
96,138607
97,573135
98,474696
99,21783
100,343751
101,170560
102,796341
103,318102
104,533247
105,173992
106,605962
107,270341
108,657538
109,692322
110,750670
111,456036
112,92983
113,236687
114,914203
115,160854
116,827558
117,542959
118,996173
119,87393
120,448251
121,115586
122,962279
123,14587
124,777161
125,819130
126,870007
127,93591
128,405784
129,267271
130,802067
131,437099
132,911541
133,190028
134,271164
135,154083
136,144707
137,870599
138,583907
139,554361
140,153505
141,854500
142,625834
143,357442
144,518117
145,407789
146,85207
147,247516
148,132085
149,192068
150,247553
151,423094
152,59157
153,903688
154,945339
155,495955
156,494360
157,344342
158,901053
159,375554
160,120090
161,782449
162,395841
163,249274
164,409873
165,105489
166,140653
167,942630
168,956573
169,579456
170,69181
171,242432
172,359626
173,822982
174,25249
175,52593
176,177300
177,652624
178,734405
179,651268
180,456414
181,551538
182,303357
183,747245
184,197065
185,689907
186,191676
187,374799
188,629362
189,782425
190,90314
191,930092
192,777955
193,491923
194,441500
195,452315
196,313285
197,513423
198,515663
199,819451
200,796883
